time,target,action,lib,width,height,mem_before_mb,mem_after_mb,mem_delta_mb,cpu_pct,elapsed_s
2026-09-14 17:42:32,list_10m,alloc,,,,15.0,91.3,76.3,0.0,0.012
2026-09-14 17:43:49,list_10m,alloc,,,,14.9,91.2,76.3,133.0,0.012
2026-09-14 17:43:49,list_10m,alloc,,,,91.3,167.6,76.3,0.0,0.011
2026-09-14 17:43:49,list_10m,alloc,,,,91.3,167.6,76.3,0.0,0.01
2026-09-14 17:43:49,list_10m,alloc,,,,91.3,167.6,76.3,0.0,0.013
2026-09-14 17:43:49,list_10m,alloc,,,,91.3,167.6,76.3,86.1,0.016
2026-09-14 17:47:25,list_10m,alloc,,,,14.6,90.9,76.3,134.4,0.011
2026-09-14 17:47:25,list_10m,alloc,,,,91.0,167.3,76.3,134.3,0.012
2026-09-14 17:47:25,list_10m,alloc,,,,91.0,167.3,76.3,120.7,0.013
2026-09-14 17:47:25,list_10m,alloc,,,,91.0,167.3,76.3,0.0,0.013
2026-09-14 17:47:25,list_10m,alloc,,,,91.0,167.3,76.3,138.8,0.011
2026-09-14 17:56:16,sample.png,load,pillow,,,38.0,39.2,1.2,28.1,0.056
2026-09-14 17:56:16,sample.png,load,opencv,,,39.2,40.1,0.9,0.0,0.002
2026-09-14 17:56:25,sample.png,load,pillow,,,37.7,38.9,1.2,0.0,0.012
2026-09-14 17:56:25,sample.png,load,opencv,,,38.9,39.7,0.8,0.0,0.002
2026-09-14 17:58:26,sample_400x300.png,load,pillow,400,300,37.8,39.0,1.2,136.5,0.011
2026-09-14 17:58:26,sample_400x300.png,load,opencv,400,300,39.0,39.9,0.9,0.0,0.002
2026-09-14 18:08:11,webcam#0,frame,opencv,1280,720,119.5,124.9,5.4,2.9,0.5432
2026-09-14 18:08:11,webcam#1,frame,opencv,1280,720,132.8,139.0,6.2,36.3,0.0033
2026-09-14 18:08:11,webcam#2,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0028
2026-09-14 18:08:11,webcam#3,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0197
2026-09-14 18:08:11,webcam#4,frame,opencv,1280,720,136.4,139.0,2.6,216.0,0.0212
2026-09-14 18:08:11,webcam#5,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0439
2026-09-14 18:08:11,webcam#6,frame,opencv,1280,720,136.4,139.0,2.6,54.8,0.0204
2026-09-14 18:08:11,webcam#7,frame,opencv,1280,720,136.4,139.0,2.6,43.1,0.0284
2026-09-14 18:08:11,webcam#8,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0197
2026-09-14 18:08:11,webcam#9,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0258
2026-09-14 18:08:11,webcam#10,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0227
2026-09-14 18:08:11,webcam#11,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.0245
2026-09-14 18:08:11,webcam#12,frame,opencv,1280,720,136.4,139.0,2.6,49.1,0.0244
2026-09-14 18:08:11,webcam#13,frame,opencv,1280,720,136.4,139.0,2.6,48.1,0.025
2026-09-14 18:08:11,webcam#14,frame,opencv,1280,720,136.4,139.0,2.6,0.0,0.023
2026-09-14 18:08:11,webcam#15,frame,opencv,1280,720,136.4,139.1,2.7,48.9,0.0245
2026-09-14 18:08:11,webcam#16,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.0243
2026-09-14 18:08:11,webcam#17,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.0259
2026-09-14 18:08:11,webcam#18,frame,opencv,1280,720,136.5,139.1,2.6,49.2,0.0254
2026-09-14 18:08:11,webcam#19,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.0405
2026-09-14 18:08:11,webcam#20,frame,opencv,1280,720,136.5,139.1,2.6,47.3,0.0262
2026-09-14 18:08:11,webcam#21,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.0244
2026-09-14 18:08:12,webcam#22,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.0238
2026-09-14 18:08:12,webcam#23,frame,opencv,1280,720,136.5,139.1,2.6,93.8,0.0259
2026-09-14 18:08:12,webcam#24,frame,opencv,1280,720,136.5,139.1,2.6,0.0,0.025
